,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
2133,Trotwood-Madison High School,3904869,9,12,,3.0,0,MONTGOMERY,824.0,Trotwood-Madison City School District,Dayton,2565.0,2020-08-24,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-05,2020-08-26,2565.0,2584.0,2584.0,59298.0
2134,Madison Park Elementary,3904869,2,3,,1.0,0,MONTGOMERY,372.0,Trotwood-Madison City School District,Dayton,2565.0,2020-08-24,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-05,2020-08-26,2565.0,2584.0,2584.0,59298.0
2135,Trotwood-Madison Early Learning Center,3904869,PK,1,,1.0,0,MONTGOMERY,452.0,Trotwood-Madison City School District,Dayton,2565.0,2020-08-24,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-05,2020-08-26,2565.0,2584.0,2584.0,59298.0
2136,Westbrooke Village,3904869,2,5,,1.0,0,MONTGOMERY,401.0,Trotwood-Madison City School District,Dayton,2565.0,2020-08-24,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-05,2020-08-26,2565.0,2584.0,2584.0,59298.0
2137,Trotwood-Madison Middle School,3904869,6,8,,2.0,0,MONTGOMERY,535.0,Trotwood-Madison City School District,Dayton,2565.0,2020-08-24,On Premises,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-05,2020-08-26,2565.0,2584.0,2584.0,59298.0
2138,Dixie High School,3904871,9,12,0.0,3.0,0,MONTGOMERY,304.0,New Lebanon Local School District,New Lebanon,1262.0,2020-08-19,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-13,2020-08-26,1262.0,1086.0,1262.0,59298.0
2139,Dixie Elementary School,3904871,PK,4,0.0,1.0,0,MONTGOMERY,431.0,New Lebanon Local School District,New Lebanon,1262.0,2020-08-19,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-13,2020-08-26,1262.0,1086.0,1262.0,59298.0
2140,Dixie Middle School,3904871,5,8,0.0,2.0,0,MONTGOMERY,351.0,New Lebanon Local School District,New Lebanon,1262.0,2020-08-19,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-13,2020-08-26,1262.0,1086.0,1262.0,59298.0
2141,Englewood Elementary School,3904872,2,6,0.0,1.0,0,MONTGOMERY,323.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2142,Englewood Hills Elementary School,3904872,2,6,0.0,1.0,0,MONTGOMERY,236.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2143,Northmont High School,3904872,9,12,0.0,3.0,0,MONTGOMERY,1493.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2144,Northmont Middle School,3904872,7,8,0.0,2.0,0,MONTGOMERY,807.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2145,Northmoor Elementary School,3904872,2,6,0.0,1.0,0,MONTGOMERY,446.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2146,Northwood Elementary School,3904872,2,6,0.0,1.0,0,MONTGOMERY,356.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2147,Union Elementary School,3904872,2,6,0.0,1.0,0,MONTGOMERY,464.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2148,Kleptz Early Childhood Learning Center,3904872,PK,1,0.0,1.0,0,MONTGOMERY,774.0,Northmont City School District,Englewood,5029.0,2020-09-01,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,2020-09-09,2020-09-02,5029.0,4899.0,5029.0,59298.0
2149,ESTHER DENNIS MIDDLE SCHOOL,3904873,3,6,0.0,1.0,0,MONTGOMERY,361.0,Northridge Local Schools,Dayton,1664.0,2020-09-08,Online Only,Yes,Yes,No,Unknown,Required for all staff,Required for all students,Pending,Yes,Never closed,No,2020-10-08,2020-09-09,1664.0,1579.0,1664.0,59298.0
2150,Morrison Elementary School,3904873,1,3,0.0,1.0,0,MONTGOMERY,378.0,Northridge Local Schools,Dayton,1664.0,2020-09-08,Online Only,Yes,Yes,No,Unknown,Required for all staff,Required for all students,Pending,Yes,Never closed,No,2020-10-08,2020-09-09,1664.0,1579.0,1664.0,59298.0
2151,Northridge High School,3904873,7,12,0.0,3.0,0,MONTGOMERY,652.0,Northridge Local Schools,Dayton,1664.0,2020-09-08,Online Only,Yes,Yes,No,Unknown,Required for all staff,Required for all students,Pending,Yes,Never closed,No,2020-10-08,2020-09-09,1664.0,1579.0,1664.0,59298.0
2152,Timberlane Learning Center,3904873,PK,KG,0.0,1.0,0,MONTGOMERY,188.0,Northridge Local Schools,Dayton,1664.0,2020-09-08,Online Only,Yes,Yes,No,Unknown,Required for all staff,Required for all students,Pending,Yes,Never closed,No,2020-10-08,2020-09-09,1664.0,1579.0,1664.0,59298.0
2153,Valley View Intermediate School,3904874,4,6,0.0,2.0,0,MONTGOMERY,498.0,Valley View Local School District,Germantown,1845.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-16,2020-09-09,1845.0,1839.0,1845.0,59298.0
2154,Valley View Primary School,3904874,KG,3,0.0,1.0,0,MONTGOMERY,495.0,Valley View Local School District,Germantown,1845.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-16,2020-09-09,1845.0,1839.0,1845.0,59298.0
2155,Valley View Junior High School,3904874,7,8,0.0,2.0,0,MONTGOMERY,280.0,Valley View Local School District,Germantown,1845.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-16,2020-09-09,1845.0,1839.0,1845.0,59298.0
2156,Valley View High School,3904874,9,12,0.0,3.0,0,MONTGOMERY,566.0,Valley View Local School District,Germantown,1845.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-16,2020-09-09,1845.0,1839.0,1845.0,59298.0
2157,Wright Brothers Elementary School,3904875,KG,6,0.0,1.0,0,MONTGOMERY,606.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2158,Monticello Elementary School,3904875,KG,6,0.0,1.0,0,MONTGOMERY,653.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2159,Rushmore Elementary School,3904875,KG,6,0.0,1.0,0,MONTGOMERY,654.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2160,Charles Huber Elementary School,3904875,PK,6,0.0,1.0,0,MONTGOMERY,594.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2161,Valley Forge Elementary School,3904875,KG,6,0.0,1.0,0,MONTGOMERY,574.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2162,Wayne High School,3904875,9,12,0.0,3.0,0,MONTGOMERY,1645.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2163,Weisenborn Junior High,3904875,7,8,0.0,2.0,0,MONTGOMERY,854.0,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2164,Unassigned,3904875,KG,5,0.0,1.0,0,MONTGOMERY,,Huber Heights City School District,Dayton,6131.0,2020-08-27,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-30,2020-09-02,6131.0,5580.0,6131.0,59298.0
2165,Morgan High School,3904877,9,12,0.0,3.0,0,MORGAN,585.0,Morgan Local School District,Mcconnelsville,1846.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-23,2020-08-26,1846.0,1844.0,1846.0,1846.0
2166,Morgan Junior High School,3904877,7,8,0.0,2.0,0,MORGAN,277.0,Morgan Local School District,Mcconnelsville,1846.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-23,2020-08-26,1846.0,1844.0,1846.0,1846.0
2167,East Elementary School,3904877,PK,6,0.0,1.0,0,MORGAN,375.0,Morgan Local School District,Mcconnelsville,1846.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-23,2020-08-26,1846.0,1844.0,1846.0,1846.0
2168,West Elementary School,3904877,PK,6,0.0,1.0,0,MORGAN,313.0,Morgan Local School District,Mcconnelsville,1846.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-23,2020-08-26,1846.0,1844.0,1846.0,1846.0
2169,South Elementary School,3904877,PK,6,0.0,1.0,0,MORGAN,294.0,Morgan Local School District,Mcconnelsville,1846.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-23,2020-08-26,1846.0,1844.0,1846.0,1846.0
2170,Cardington-Lincoln Middle School,3904879,7,8,0.0,2.0,0,MORROW,159.0,Cardington-Lincoln Local School District,Cardington,1064.0,2020-09-07,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-12-29,2020-09-09,1064.0,1050.0,1064.0,5341.0
2171,Cardington-Lincoln High School,3904879,9,12,0.0,3.0,0,MORROW,280.0,Cardington-Lincoln Local School District,Cardington,1064.0,2020-09-07,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-12-29,2020-09-09,1064.0,1050.0,1064.0,5341.0
2172,Cardington-Lincoln Elementary School,3904879,PK,4,0.0,1.0,0,MORROW,435.0,Cardington-Lincoln Local School District,Cardington,1064.0,2020-09-07,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-12-29,2020-09-09,1064.0,1050.0,1064.0,5341.0
2173,Cardington Intermediate School,3904879,5,6,0.0,2.0,0,MORROW,176.0,Cardington-Lincoln Local School District,Cardington,1064.0,2020-09-07,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-12-29,2020-09-09,1064.0,1050.0,1064.0,5341.0
2174,Highland High School,3904880,9,12,0.0,3.0,0,MORROW,547.0,Highland Local School District,Marengo,1784.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1784.0,1827.0,1827.0,5341.0
2175,Highland Middle School,3904880,6,8,0.0,2.0,0,MORROW,430.0,Highland Local School District,Marengo,1784.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1784.0,1827.0,1827.0,5341.0
2176,Highland  Elementary School,3904880,PK,5,0.0,1.0,0,MORROW,850.0,Highland Local School District,Marengo,1784.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1784.0,1827.0,1827.0,5341.0
2177,Northmor Elementary School,3904881,PK,6,0.0,1.0,0,MORROW,611.0,Northmor Local School District,Galion,1150.0,2020-09-09,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-06,2020-09-09,1150.0,1057.0,1150.0,5341.0
2178,Northmor High School,3904881,7,12,0.0,3.0,0,MORROW,446.0,Northmor Local School District,Galion,1150.0,2020-09-09,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-06,2020-09-09,1150.0,1057.0,1150.0,5341.0
2179,East Muskingum Middle School,3904883,6,8,,2.0,0,MUSKINGUM,485.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,1962.0,2266.0,11515.0
2180,John Glenn High School,3904883,9,12,,3.0,0,MUSKINGUM,592.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,1962.0,2266.0,11515.0
2181,New Concord Elementary School,3904883,PK,2,,1.0,0,MUSKINGUM,256.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,1962.0,2266.0,11515.0
2182,Perry Elementary School,3904883,PK,2,,1.0,0,MUSKINGUM,110.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,1962.0,2266.0,11515.0
2183,Larry Miller Intermediate Elementary School,3904883,3,5,,1.0,0,MUSKINGUM,519.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,1962.0,2266.0,11515.0
2184,Pike Elementary School,3904883,PK,2,,1.0,0,GUERNSEY,117.0,East Muskingum Local School District,New Concord,2266.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-02,2020-09-02,2266.0,117.0,2266.0,5189.0
2185,Duncan Falls Elementary School,3904884,PK,5,0.0,1.0,0,MUSKINGUM,751.0,Franklin Local School District,Duncan Falls,2067.0,2020-08-27,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-28,2020-09-02,2067.0,1908.0,2067.0,11515.0
2186,Philo Junior High School,3904884,6,8,0.0,2.0,0,MUSKINGUM,447.0,Franklin Local School District,Duncan Falls,2067.0,2020-08-27,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-28,2020-09-02,2067.0,1908.0,2067.0,11515.0
2187,Philo High School,3904884,9,12,0.0,3.0,0,MUSKINGUM,471.0,Franklin Local School District,Duncan Falls,2067.0,2020-08-27,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-28,2020-09-02,2067.0,1908.0,2067.0,11515.0
2188,Roseville Elementary  School,3904884,PK,6,0.0,1.0,0,MUSKINGUM,239.0,Franklin Local School District,Duncan Falls,2067.0,2020-08-27,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-28,2020-09-02,2067.0,1908.0,2067.0,11515.0
2189,Maysville High School,3904885,9,12,0.0,3.0,0,MUSKINGUM,557.0,Maysville Local School District,Zanesville,2123.0,2020-08-27,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-12,2020-09-02,2123.0,2237.0,2237.0,11515.0
2190,Maysville Middle School,3904885,6,8,0.0,2.0,0,MUSKINGUM,501.0,Maysville Local School District,Zanesville,2123.0,2020-08-27,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-12,2020-09-02,2123.0,2237.0,2237.0,11515.0
2191,Maysville Elementary School,3904885,PK,5,0.0,1.0,0,MUSKINGUM,1179.0,Maysville Local School District,Zanesville,2123.0,2020-08-27,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-12,2020-09-02,2123.0,2237.0,2237.0,11515.0
2192,Falls Elementary School,3904888,PK,4,,1.0,0,MUSKINGUM,581.0,West Muskingum Local School District,Zanesville,1530.0,2020-08-26,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-20,2020-08-26,1530.0,1419.0,1530.0,11515.0
2193,Hopewell Elementary School,3904888,PK,3,,1.0,0,MUSKINGUM,,West Muskingum Local School District,Zanesville,1530.0,2020-08-26,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-20,2020-08-26,1530.0,1419.0,1530.0,11515.0
2194,West Muskingum High School,3904888,9,12,,3.0,0,MUSKINGUM,397.0,West Muskingum Local School District,Zanesville,1530.0,2020-08-26,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-20,2020-08-26,1530.0,1419.0,1530.0,11515.0
2195,West Muskingum Middle School,3904888,5,8,,2.0,0,MUSKINGUM,441.0,West Muskingum Local School District,Zanesville,1530.0,2020-08-26,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-20,2020-08-26,1530.0,1419.0,1530.0,11515.0
2196,Shenandoah High School,3904890,9,12,0.0,3.0,0,NOBLE,234.0,Noble Local School District,Sarahsville,995.0,2020-09-08,Hybrid,Unknown,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-15,2020-09-09,995.0,849.0,995.0,1860.0
2197,Shenandoah Elementary School,3904890,KG,8,0.0,1.0,0,NOBLE,615.0,Noble Local School District,Sarahsville,995.0,2020-09-08,Hybrid,Unknown,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-15,2020-09-09,995.0,849.0,995.0,1860.0
2198,Oak Harbor High School,3904892,8,12,0.0,3.0,0,OTTAWA,614.0,Benton Carroll Salem School District,Oak Harbor,1565.0,2020-08-26,On Premises,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-08,2020-08-26,1565.0,1501.0,1565.0,6616.0
2199,Oak Harbor Middle School,3904892,4,7,0.0,2.0,0,OTTAWA,465.0,Benton Carroll Salem School District,Oak Harbor,1565.0,2020-08-26,On Premises,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-08,2020-08-26,1565.0,1501.0,1565.0,6616.0
2200,R C Waters Elementary School,3904892,PK,3,0.0,1.0,0,OTTAWA,422.0,Benton Carroll Salem School District,Oak Harbor,1565.0,2020-08-26,On Premises,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-08,2020-08-26,1565.0,1501.0,1565.0,6616.0
2201,Danbury Elementary School,3904893,PK,4,0.0,1.0,0,OTTAWA,252.0,Danbury Local Schools,Lakeside Marblehead,680.0,2020-09-09,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-16,2020-09-09,680.0,551.0,680.0,6616.0
2202,Danbury High School,3904893,9,12,0.0,3.0,0,OTTAWA,157.0,Danbury Local Schools,Lakeside Marblehead,680.0,2020-09-09,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-16,2020-09-09,680.0,551.0,680.0,6616.0
2203,Danbury Middle School,3904893,5,8,0.0,2.0,0,OTTAWA,142.0,Danbury Local Schools,Lakeside Marblehead,680.0,2020-09-09,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-16,2020-09-09,680.0,551.0,680.0,6616.0
2204,Genoa Elementary,3904894,PK,5,0.0,1.0,0,OTTAWA,636.0,Genoa Area Local School District,Genoa,1474.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Unknown,Yes,2020-10-19,2020-09-09,1474.0,1332.0,1474.0,6616.0
2205,Genoa Area High School,3904894,9,12,0.0,3.0,0,OTTAWA,389.0,Genoa Area Local School District,Genoa,1474.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Unknown,Yes,2020-10-19,2020-09-09,1474.0,1332.0,1474.0,6616.0
